Car Name,Price
Q5 E-tronتیپ 40- فول-2024,"5,402,024 تومان"
Q5 E-tronتیپ 40- نیمه‌ فول-2024,"5,402,024 تومان"
Q5 E-tronتیپ 40- نیمه‌ فول-2023,"5,402,023 تومان"
Q5 E-tronتیپ 40- فول-2023,"5,402,023 تومان"
دو کابین آسنادنده ای-1403,"1,403 تومان"
ET5برقی-2024,"52,024 تومان"
اوکتاویاتوربو 1400-2024,"14,002,024 تومان"
سوپربتوربو 1400-2024,"14,002,024 تومان"
کاروک1400 توربو-2024,"14,002,024 تومان"
LXتوربو 1600-1404,"16,001,404 تومان"
LXتوربو 1600-1403,"16,001,403 تومان"
TXLتوربو 2000-1404,"20,001,404 تومان"
TXLتوربو 2000-1403,"20,001,403 تومان"
VXتوربو 2000-1404,"20,001,404 تومان"
VXتوربو 2000-1403,"20,001,403 تومان"
ام جی 5موتور 1500-2025,"515,002,025 تومان"
ام جی 5موتور 1500-2024,"515,002,024 تومان"
ام جی GTتوربو 1500-2024,"15,002,024 تومان"
پژو 2008اتوماتیک-1399,"20,081,399 تومان"
پژو 206تیپ 3-1402,"20,631,402 تومان"
پژو 207دنده ای نیمه فول - ESP-1404,"2,071,404 تومان"
پژو 207دنده ای سقف شیشه ای - ESP ارتقا یافته-1404,"2,071,404 تومان"
پژو 207اتوماتیک سقف شیشه ای - ESP ارتقا یافته-1404,"2,071,404 تومان"
پژو 207اتوماتیک - ESP-1404,"2,071,404 تومان"
پژو 207دنده ای با موتور  ESP - TU3-1404,"20,731,404 تومان"
پژو 207دنده ای سقف شیشه ای - ESP ارتقا یافته- رینگ فولادی-1404,"2,071,404 تومان"
پژو 207دنده ای سقف شیشه ای - ESP-1403,"2,071,403 تومان"
پژو 207اتوماتیک سقف شیشه ای - ESP-1403,"2,071,403 تومان"
پژو 207دنده ای نیمه فول - ESP-1403,"2,071,403 تومان"
پژو 207اتوماتیک - ESP-1403,"2,071,403 تومان"
پژو 207دنده ای با موتور  ESP - TU3-1403,"20,731,403 تومان"
پژو 207اتوماتیک سقف شیشه ای-1403,"2,071,403 تومان"
پژو 207دنده ای سقف شیشه ای - ESP ارتقا یافته-1403,"2,071,403 تومان"
پژو 207اتوماتیک سقف شیشه ای - ESP ارتقا یافته-1403,"2,071,403 تومان"
پژو پارسمعمولی (سفارشی) - موتور جدید-ELX-1403,"1,403 تومان"
پژو پارسLX با دریچه گاز سیمی-1403,"1,403 تومان"
پژو پارسLX با دریچه گاز برقی-1403,"1,403 تومان"
پژو پارسمعمولی - موتور جدید-1403,"1,403 تومان"
تارااتومات V4-1404,"41,404 تومان"
تارادنده ای V1 پلاس-1404,"11,404 تومان"
تارادنده - ESP-1403,"1,403 تومان"
تارااتوماتیک-1403,"1,403 تومان"
تارااتومات V4-1403,"41,403 تومان"
تارادنده ای V1 پلاس-1403,"11,403 تومان"
دنا پلاستوربو اتوماتیک - آپشنال-1404,"1,404 تومان"
دنا پلاس6 دنده-1404,"61,404 تومان"
دنا پلاسلو آپشن-1404,"1,404 تومان"
دنا پلاسلو آپشن-1403,"1,403 تومان"
دنا پلاستوربو اتوماتیک - ESP-1403,"1,403 تومان"
دنا پلاستوربو 6 دنده-1403,"61,403 تومان"
دنا پلاستوربو اتوماتیک - آپشنال-1403,"1,403 تومان"
دنا پلاس6 دنده-1403,"61,403 تومان"
راناپلاس - ESP ارتقا یافته-1404,"1,404 تومان"
راناپلاس - ESP ارتقا یافته-1403,"1,403 تومان"
راناپلاس سقف شیشه ای - ESP-1403,"1,403 تومان"
راناپلاس - ESP-1403,"1,403 تومان"
ری‌رابنزینی-1404,"1,404 تومان"
ری‌رابنزینی-1403,"1,403 تومان"
سورنپلاس-1404,"1,404 تومان"
سورنپلاس XU7P-1404,"71,404 تومان"
سورنپلاس دوگانه سوز-1404,"1,404 تومان"
سورنپلاس XU7P-1403,"71,403 تومان"
سورنپلاس-1403,"1,403 تومان"
سورنپلاس دوگانه سوز-1403,"1,403 تومان"
لونا GREبرقی-1403,"1,403 تومان"
وانت آریسان 2دوگانه سوز-1404,"21,404 تومان"
وانت آریسان 2دوگانه سوز-1403,"21,403 تومان"
بیجینگ X55توربو 1500-2024,"5,515,002,024 تومان"
بیجینگ X7توربو 1500-1403,"715,001,403 تومان"
بسترن B30اتوماتیک-1401,"301,401 تومان"
T77توربو 1500-2023,"7,715,002,023 تومان"
ناتبرقی-2024,"2,024 تومان"
X3پرو-1404,"31,404 تومان"
X3پرو-1403,"31,403 تومان"
IX125L-2025,"1,252,025 تومان"
سانگ پلاسهیبرید-2024,"2,024 تومان"
ماکان9 کلید-2018,"92,018 تومان"
BZ3فول-2024,"32,024 تومان"
راو 4تک دیفرانسیل-2024,"42,024 تومان"
راو 4دو دیفرانسیل هیبرید-2024,"42,024 تومان"
راو 4دو دیفرانسیل-2024,"42,024 تومان"
راو 4فول امارات-2018,"42,018 تومان"
راو 4فول عمان-2018,"42,018 تومان"
لوینهیبرید-2024,"2,024 تومان"
لوینبنزینی-2024,"2,024 تومان"
لوینهیبرید SE-2023,"2,023 تومان"
لوینبنزینی-2023,"2,023 تومان"
لوینهیبرید-2023,"2,023 تومان"
وایلدلندرلاکچری پلاس-2025,"2,025 تومان"
وایلدلندرلاکچری پلاس-2024,"2,024 تومان"
کرولاتوربو 1200-2024,"12,002,024 تومان"
کرولاهیبرید موتور 1800-2024,"18,002,024 تومان"
کرولاهیبرید موتور 1800-2023,"18,002,023 تومان"
کرولاتنفس طبیعی 1500نیمه فول-2023,"15,002,023 تومان"
کرولاتوربو 1200-2023,"12,002,023 تومان"
کرولاتنفس طبیعی 1500 فول-2023,"15,002,023 تومان"
کرولاتنفس طبیعی 1500نیمه فول-2022,"15,002,022 تومان"
کرولا کراسهیبرید موتور 2000-2024,"20,002,024 تومان"
کمریهیبرید 2500-2024,"25,002,024 تومان"
X35اتوماتیک-1404,"351,404 تومان"
X35اتوماتیک-1403,"351,403 تومان"
VS5توربو 1400-2024,"514,002,024 تومان"
VS5توربو 1400-2023,"514,002,023 تومان"
VS7توربو 1400-2024,"714,002,024 تومان"
VS7توربو 1400-2023,"714,002,023 تومان"
E50Aبرقی-1403,"501,403 تومان"
J4اتوماتیک-1404,"41,404 تومان"
J4اتوماتیک-1403,"41,403 تومان"
S3اتوماتیک-1403,"31,403 تومان"
S5اتوماتیک - فیس جدید-1403,"51,403 تومان"
T8دنده ای-1404,"81,404 تومان"
T8دنده ای-1403,"81,403 تومان"
آزکاراهیبرید-2023,"2,023 تومان"
CS35 پلاستیپ 3-2024,"3,532,024 تومان"
CS35 پلاستیپ 2-2023,"3,522,023 تومان"
CS35 پلاستیپ 3-2023,"3,532,023 تومان"
CS55 پلاس1500 توربو-2024,"5,515,002,024 تومان"
دیگنیتیپرایم-1404,"1,404 تومان"
دیگنیتیپرستیژ-1404,"1,404 تومان"
دیگنیتیپرایم-1403,"1,403 تومان"
دیگنیتیپرستیژ-1403,"1,403 تومان"
شاین مکسبنزینی-1403,"1,403 تومان"
شاین مکسهیبرید-1403,"1,403 تومان"
Y5پلاس-1402,"51,402 تومان"
y7پلاس-1403,"71,403 تومان"
آرکاناموتور 1600-2024,"16,002,024 تومان"
تلیسمانE3-2018,"32,018 تومان"
کولیوسفول-2025,"2,025 تومان"
کولیوسفول-2024,"2,024 تومان"
کولیوسفول-2018,"2,018 تومان"
آتکاتوربو 2000-2023,"20,002,023 تومان"
رکستونG4-2018,"42,018 تومان"
نیو کوراندوتوربو 1500-2023,"15,002,023 تومان"
نیو کوراندوتوربو 1500 دو دیفرانسیل-2023,"15,002,023 تومان"
DL5توربو 1500-1403,"515,001,403 تومان"
اطلسG-1404,"1,404 تومان"
اطلسGL-1404,"1,404 تومان"
اطلسG-1403,"1,403 تومان"
پراید 151SE-1404,"1,511,404 تومان"
پراید 151SE-1403,"1,511,403 تومان"
سایناS - ESP-1404,"1,404 تومان"
سایناGX دوگانه سوز-1404,"1,404 تومان"
سایناS اتوماتیک-1404,"1,404 تومان"
سایناGX دوگانه سوز-1403,"1,403 تومان"
سایناS اتوماتیک-1403,"1,403 تومان"
سایناS - ESP-1403,"1,403 تومان"
سایناS  دوگانه سوز-1403,"1,403 تومان"
سهندS-1404,"1,404 تومان"
سهنداتوماتیک-1404,"1,404 تومان"
سهندG-1403,"1,403 تومان"
سهندS-1403,"1,403 تومان"
شاهینGL دنده ای-1404,"1,404 تومان"
