نام خودرو,وضعیت,سال,قیمت (تومان),قیمت عددی
لکسوس LX570,کارکرده,نامشخص,"23,900,000,000",23900000000
مازراتی گیبلی,کارکرده,نامشخص,"20,100,000,000",20100000000
بی ام و سری ۷ مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2017,"18,500,000,000",18500000000
بی ام و i8,صفر کیلومتر,2015,"17,900,000,000",17900000000
مازراتی کواتروپورت مدل ۲۰۱۴-۲۰۱۵,کارکرده,نامشخص,"17,600,000,000",17600000000
بنز E کلاس مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2018,"15,490,000,000",15490000000
لکسوس RX مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,2018,"15,000,000,000",15000000000
مازراتی گرن کبریو,کارکرده,نامشخص,"14,620,000,000",14620000000
مازراتی گرن توریسمو,کارکرده,نامشخص,"14,320,000,000",14320000000
بنز S کلاس مدل ۲۰۱۴,کارکرده,نامشخص,"13,920,000,000",13920000000
مازراتی کواتروپورت مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"13,120,000,000",13120000000
بی ام و X4,صفر کیلومتر,2016,"13,000,000,000",13000000000
بنز SL مدل ۲۰۱۲-۲۰۱۳,کارکرده,نامشخص,"12,920,000,000",12920000000
پورشه ۹۱۱ مدل ۲۰۱۲-۲۰۱۴,کارکرده,نامشخص,"11,620,000,000",11620000000
پورشه ماکان,کارکرده,نامشخص,"11,120,000,000",11120000000
بی ام و سری ۵ مدل ۲۰۱۷-۲۰۱۸,صفر کیلومتر,2017,"10,920,000,000",10920000000
پورشه باکستر مدل ۲۰۱۷,کارکرده,نامشخص,"10,920,000,000",10920000000
بنز CLA,کارکرده,نامشخص,"9,450,000,000",9450000000
تویوتا لندکروز مدل ۲۰۰۸-۲۰۱۳,کارکرده,نامشخص,"9,200,000,000",9200000000
آلفارومئو ۴C,کارکرده,نامشخص,"8,650,000,000",8650000000
بی ام و X1 مدل ۲۰۱۶-۲۰۱۷,صفر کیلومتر,2016,"8,550,000,000",8550000000
بی ام و ix1,صفر کیلومتر,2025,"8,500,000,000",8500000000
فولکس تیگوان,صفر کیلومتر,2018,"8,500,000,000",8500000000
بنز CLS مدل ۲۰۱۱-۲۰۱۳,کارکرده,نامشخص,"8,450,000,000",8450000000
تویوتا پرادو ۴ در مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"8,400,000,000",8400000000
پورشه پانامرا مدل ۲۰۱۰-۲۰۱۳,کارکرده,نامشخص,"8,250,000,000",8250000000
هیوندای آزرا مدل ۲۰۱۸-۲۰۱۹,صفر کیلومتر,2019,"8,000,000,000",8000000000
تویوتا راوفور مدل ۲۰۱۶-۲۰۱۸,صفر کیلومتر,2018,"8,000,000,000",8000000000
ولوو XC90,کارکرده,نامشخص,"7,850,000,000",7850000000
بنز C کلاس مدل ۲۰۱۵-۲۰۱۷,کارکرده,نامشخص,"7,750,000,000",7750000000
بنز E کلاس کروک مدل ۲۰۱۳-۲۰۱۴,کارکرده,نامشخص,"7,700,000,000",7700000000
پورشه کاین مدل ۲۰۱۱-۲۰۱۳,کارکرده,نامشخص,"7,650,000,000",7650000000
لکسوس NX,صفر کیلومتر,2017,"7,500,000,000",7500000000
بنز S کلاس مدل ۲۰۰۹-۲۰۱۳,کارکرده,نامشخص,"7,420,000,000",7420000000
